;Unidade federativa;state;População (2014);PIB (2015);IDH (2010);Mortalidade infantil (2016);Expectativa de vida (2016);Mortes;Casos;Partido Governante;% Casos;% Mortes;Região
0;Acre;AC;795145;13622000;663;17;73,9;1635;81413;PP;10,24;0,21;Norte
1;Alagoas;AL;3327551;46364000;631;19,5;71,6;4607;188958;MDB;5,68;0,14;Nordeste
2;Amapá;AP;756500;13861000;708;23,2;73,9;1657;110403;PSC;14,59;0,22;Norte
3;Amazonas;AM;3893763;86560000;674;18,2;71,9;12920;382487;PDT;9,82;0,33;Norte
4;Bahia;BA;15150143;245025000;660;17,3;73,5;20233;973279;PT;6,42;0,13;Nordeste
5;Ceará;CE;8867448;130621000;682;14,4;73,8;19815;761489;PT;8,59;0,22;Nordeste
6;Distrito Federal;DF;2867869;215613000;824;10,5;78,1;8466;398450;MDB;13,89;0,3;Centro Oeste
7;Espírito Santo;ES;3894899;120363000;740;8,8;78,2;10333;466368;PSB;11,97;0,27;Sudeste
8;Goiás;GO;6551322;173632000;735;14,9;74,2;16559;595328;DEM;9,09;0,25;Centro Oeste
9;Maranhão;MA;6861924;78475000;639;21,3;70,6;7896;284301;PCdoB;4,14;0,12;Nordeste
10;Mato Grosso;MT;3236578;107418000;725;16,9;74,2;10501;391567;Novo;12,1;0,32;Centro Oeste
11;Mato Grosso do Sul;MS;2630098;83082000;729;14;75,5;6461;276877;PSDB;10,53;0,25;Centro Oeste
12;Minas Gerais;MG;20777672;519326000;731;10,9;77,2;38807;1512016;DEM;7,28;0,19;Sudeste
13;Pará;PA;8101180;130883000;646;16,6;72,1;14233;508448;MDB;6,28;0,18;Norte
14;Paraíba;PB;3950359;56140000;658;16,1;73,2;7420;316897;PSB;8,02;0,19;Nordeste
15;Paraná;PR;11112062;376960000;749;9,3;77,1;25362;1054893;PSB;9,49;0,23;Sul
16;Pernambuco;PE;9297861;156955000;673;12,7;73,9;15365;462368;PT;4,97;0,17;Nordeste
17;Piauí;PI;3198185;39148000;646;19,1;71,1;5762;265216;PSD;8,29;0,18;Nordeste
18;Rio de Janeiro;RJ;16497395;659137000;761;11,5;76,2;49515;840480;PSC;5,09;0,3;Sudeste
19;Rio Grande do Norte;RN;3419550;57250000;684;14,7;75,7;5978;257422;PT;7,53;0,17;Nordeste
20;Rio Grande do Sul;RS;11228091;381985000;746;9,6;77,8;27419;1059990;PSL;9,44;0,24;Sul
21;Rondônia;RO;1755015;36563000;690;20;71,3;5611;225349;PSL;12,84;0,32;Norte
22;Roraima;RR;500826;10354000;707;17,2;71,5;1588;99463;PSDB;19,86;0,32;Norte
23;Santa Catarina;SC;6734568;249073000;774;9,2;79,1;14822;947810;PSL;14,07;0,22;Sul
24;São Paulo;SP;44169350;1939890000;783;9,9;78,1;107614;3187347;PSD;7,22;0,24;Sudeste
25;Sergipe;SE;2227294;38554000;665;16,2;72,7;4902;225257;PSDB;10,11;0,22;Nordeste
26;Tocantins;TO;1502759;28930000;699;15,8;73,4;2776;173109;PHS;11,52;0,18;Norte
