Cidade;Prefeito;Partido;Porcentagem;Quantidade
Abaíra;Diga;DEM;57,16;3047
 Abaré;Fernando Tolentino;PT;62,19;7435
 Acajutiba;Alex Freitas;MDB;61,03;5641
 Adustina;Paulo Sergio;PSD;70,81;6558
 Água Fria;Renan;PL;50,87;4840
 Aiquara;Delmar;PP;53,51;1740
 Alagoinhas;Joaquim Neto;PSD;38,23;28268
 Alcobaça;Zico de Baiato;PROS;56,45;7590
 Almadina;Milton;PODE;59,24;2250
 Amargosa;Júlio Pinheiro;PT;72,76;14169
 Amélia Rodrigues;João Bahia;PSD;57,83;8420
 América Dourada;Joelson;PL;53,13;5360
 Anagé;Rogerio de Zinho;PSD;2,95;4281
 Andaraí;Wilson Cardoso;PSB;69,69;5236
 Andorinha;Renatinho;PP;5,58;5374
 Angical;Mezo;PP;53,57;5291
 Anguera;Mauro Vieira;PL;61,19;4521
 Antas;Sidonio Nilo;PSB;7,03;6116
 Antônio Cardoso;Lu de Gel;PP;52,91;4623
 Antônio Gonçalves;Dudu;PSD;50,46;3557
 Aporá;Carine de Ataíde;PP;49,56;5078
 Apuarema;Rogério;PP;57,75;2676
 Araçás;Agamenon Coelho;DEM;4,36;3560
 Aracatu;Braulina;REPUBLICANOS;58,08;5875
 Araci;Keinha;PDT;55,33;16032
 Aramari;Fidel;PP;50,02;3644
 Arataca;Ferlú;PSD;48,82;2420
 Aratuípe;Professor Tone;PC do B;62,58;4192
 Aurelino Leal;Rodrigo Andrade;PP;59,48;4372
 Baianópolis;Jandira Xavier;PSD;39,69;3891
 Baixa Grande;Gilvan;PSD;52,92;6227
 Banzaê;Jailma;PT;54,74;4310
 Barra;Artur;PP;55,55;15389
 Barra da Estiva;João de Didi;PP;57,15;9288
 Barra do Choça;Oberdan Rocha;PP;5,25;10835
 Barra do Mendes;Tonho;PDT;69,31;6571
 Barra do Rocha;Dr José Luiz;PDT;55,73;1849
 Barreiras;Zito Barbosa;DEM;7,03;51107
 Barro Alto;Orlando Amorim;PL;5,05;4446
 Barro Preto;Juraci da Saúde;PP;55,49;2709
 Barrocas;Jai de Barrocas;PSD;57,12;6204
 Belmonte;Bebeto Gama;PP;57,39;7034
 Belo Campo;Quinho;PSD;44,62;5570
 Biritinga;Gil de Gode;PSB;49,24;4640
 Boa Nova;Adonias;PSD;48,04;4368
 Boa Vista do Tupim;Dinho;PSDB;53,49;5878
 Bom Jesus da Lapa;Fabio Nunes;PSD;61,72;21739
 Bom Jesus da Serra;Jornandinho;PP;51,36;3651
 Boninal;Celeste;PT;48,93;3942
 Bonito;Reinan de Lourinho;PSD;60,96;6157
 Boquira;Luciano da Farmácia;PSB;57,36;7348
 Botuporã;Edimilson;PP;58,62;4668
 Brejões;Sandro;REDE;43,45;3643
 Brejolândia;Edezio Bastos;DEM;53,94;3983
 Brotas de Macaúbas;Dr Kleber;PSD;45,44;3293
 Brumado;Eduardo Vasconcelos;PSB;48,83;18542
 Buerarema;Vinícius Ibrann;DEM;74,46;6859
 Buritirama;Arival Viana;DEM;49,33;6110
 Caatiba;Tania Ribeiro;PSD;56,39;2640
 Cabaceiras do Paraguaçu;Pedro de Paulinho;PSD;50,41;5229
 Cachoeira;Eliana;REPUBLICANOS;55,94;10448
 Caculé;Pedrão;PSB;54,21;7849
 Caem;Arnaldinho;PSB;51,46;3234
 Caetanos;Paulo de Reis;PC do B;65,14;5021
