,Cidade,Prefeito,Partido,Porcentagem,Quantidade
0, Xique-xique,Reinaldinho,MDB,55.65%,14573
1, Xique-xique,Reinaldinho,MDB,55.65%,14573
2, Xique-xique,Reinaldinho,MDB,55.65%,14573
3, Xique-xique,Reinaldinho,MDB,55.65%,14573
4, Xique-xique,Reinaldinho,MDB,55.65%,14573
5, Xique-xique,Reinaldinho,MDB,55.65%,14573
6, Xique-xique,Reinaldinho,MDB,55.65%,14573
7, Xique-xique,Reinaldinho,MDB,55.65%,14573
8, Xique-xique,Reinaldinho,MDB,55.65%,14573
9, Xique-xique,Reinaldinho,MDB,55.65%,14573
10, Xique-xique,Reinaldinho,MDB,55.65%,14573
11, Xique-xique,Reinaldinho,MDB,55.65%,14573
12, Xique-xique,Reinaldinho,MDB,55.65%,14573
13, Xique-xique,Reinaldinho,MDB,55.65%,14573
14, Xique-xique,Reinaldinho,MDB,55.65%,14573
15, Xique-xique,Reinaldinho,MDB,55.65%,14573
16, Xique-xique,Reinaldinho,MDB,55.65%,14573
17, Xique-xique,Reinaldinho,MDB,55.65%,14573
18, Xique-xique,Reinaldinho,MDB,55.65%,14573
19, Xique-xique,Reinaldinho,MDB,55.65%,14573
20, Xique-xique,Reinaldinho,MDB,55.65%,14573
21, Xique-xique,Reinaldinho,MDB,55.65%,14573
22, Xique-xique,Reinaldinho,MDB,55.65%,14573
23, Xique-xique,Reinaldinho,MDB,55.65%,14573
24, Xique-xique,Reinaldinho,MDB,55.65%,14573
25, Xique-xique,Reinaldinho,MDB,55.65%,14573
26, Xique-xique,Reinaldinho,MDB,55.65%,14573
27, Xique-xique,Reinaldinho,MDB,55.65%,14573
28, Xique-xique,Reinaldinho,MDB,55.65%,14573
29, Xique-xique,Reinaldinho,MDB,55.65%,14573
30, Xique-xique,Reinaldinho,MDB,55.65%,14573
31, Xique-xique,Reinaldinho,MDB,55.65%,14573
32, Xique-xique,Reinaldinho,MDB,55.65%,14573
33, Xique-xique,Reinaldinho,MDB,55.65%,14573
34, Xique-xique,Reinaldinho,MDB,55.65%,14573
35, Xique-xique,Reinaldinho,MDB,55.65%,14573
36, Xique-xique,Reinaldinho,MDB,55.65%,14573
37, Xique-xique,Reinaldinho,MDB,55.65%,14573
38, Xique-xique,Reinaldinho,MDB,55.65%,14573
39, Xique-xique,Reinaldinho,MDB,55.65%,14573
40, Xique-xique,Reinaldinho,MDB,55.65%,14573
41, Xique-xique,Reinaldinho,MDB,55.65%,14573
42, Xique-xique,Reinaldinho,MDB,55.65%,14573
43, Xique-xique,Reinaldinho,MDB,55.65%,14573
44, Xique-xique,Reinaldinho,MDB,55.65%,14573
45, Xique-xique,Reinaldinho,MDB,55.65%,14573
46, Xique-xique,Reinaldinho,MDB,55.65%,14573
47, Xique-xique,Reinaldinho,MDB,55.65%,14573
48, Xique-xique,Reinaldinho,MDB,55.65%,14573
49, Xique-xique,Reinaldinho,MDB,55.65%,14573
50, Xique-xique,Reinaldinho,MDB,55.65%,14573
51, Xique-xique,Reinaldinho,MDB,55.65%,14573
52, Xique-xique,Reinaldinho,MDB,55.65%,14573
53, Xique-xique,Reinaldinho,MDB,55.65%,14573
54, Xique-xique,Reinaldinho,MDB,55.65%,14573
55, Xique-xique,Reinaldinho,MDB,55.65%,14573
56, Xique-xique,Reinaldinho,MDB,55.65%,14573
57, Xique-xique,Reinaldinho,MDB,55.65%,14573
58, Xique-xique,Reinaldinho,MDB,55.65%,14573
59, Xique-xique,Reinaldinho,MDB,55.65%,14573
60, Xique-xique,Reinaldinho,MDB,55.65%,14573
61, Xique-xique,Reinaldinho,MDB,55.65%,14573
62, Xique-xique,Reinaldinho,MDB,55.65%,14573
63, Xique-xique,Reinaldinho,MDB,55.65%,14573
64, Xique-xique,Reinaldinho,MDB,55.65%,14573
65, Xique-xique,Reinaldinho,MDB,55.65%,14573
66, Xique-xique,Reinaldinho,MDB,55.65%,14573
67, Xique-xique,Reinaldinho,MDB,55.65%,14573
68, Xique-xique,Reinaldinho,MDB,55.65%,14573
69, Xique-xique,Reinaldinho,MDB,55.65%,14573
70, Xique-xique,Reinaldinho,MDB,55.65%,14573
71, Xique-xique,Reinaldinho,MDB,55.65%,14573
72, Xique-xique,Reinaldinho,MDB,55.65%,14573
73, Xique-xique,Reinaldinho,MDB,55.65%,14573
74, Xique-xique,Reinaldinho,MDB,55.65%,14573
